,LOAN_ID,orig_rt,orig_amt,orig_trm,oltv,ocltv,num_bo,dti,CSCORE_B,FTHB_FLG,purpose,PROP_TYP,NUM_UNIT,occ_stat,state,zip_3,mi_pct,CSCORE_C,relo_flg,MI_TYPE,ORIG_DTE,LAST_RT,LAST_UPB,msa,FCC_COST,PP_COST,AR_COST,IE_COST,TAX_COST,NS_PROCS,CE_PROCS,RMW_PROCS,O_PROCS,repch_flag,LAST_ACTIVITY_DATE,F30_DTE,F60_DTE,F90_DTE,F120_DTE,F180_DTE,FCE_DTE,F180_UPB,FCE_UPB,F30_UPB,F60_UPB,F90_UPB,MOD_FLAG,FMOD_DTE,FMOD_UPB,MODIR_COST,MODFB_COST,MODFG_COST,MODTRM_CHNG,MODUPB_CHNG,z_num_periods_120,F120_UPB,CSCORE_MN,ORIG_VAL,LAST_DTE,LAST_STAT,COMPLT_FLG,INT_COST,PFG_COST,NET_LOSS,NET_SEV,MODTOT_COST,F180_UPB_dum,F120_UPB_dum,F90_UPB_dum,F60_UPB_dum,F30_UPB_dum,time_arrears_tot,time_default,good_bad
47455,145000000000.0,7.25,38000,360,80,80,2.0,28.0,803.0,N,P,SF,1,I,SC,298,,780.0,N,None,01/09/2006,7.25,,0,,,,,,,,,,0,01/04/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,780.0,47500.0,01/04/2007,P,,,,,,,0,0,0,0,0,0,0,1
50292,145000000000.0,6.625,55000,360,16,16,2.0,13.0,813.0,N,P,SF,1,P,MI,493,,807.0,N,None,01/08/2006,6.625,46482.37,24340,,,,,,,,,,0,01/06/2016,,,,,,,,,,,,0,,,,,0.0,0,0,,,807.0,343750.0,01/06/2016,P,,,,,,,0,0,0,0,0,0,0,1
50293,145000000000.0,6.375,95000,360,80,80,1.0,53.0,747.0,N,P,SF,1,P,CO,805,,,N,None,01/08/2006,6.375,76378.05,22660,,,,,,,,,,0,01/09/2018,,,,,,,,,,,,0,,,,,0.0,0,0,,,747.0,118750.0,01/09/2018,P,,,,,,,0,0,0,0,0,0,0,1
51852,145000000000.0,6.875,170000,360,69,69,1.0,41.0,764.0,N,C,SF,1,P,NJ,80,,,N,None,01/07/2006,6.875,168468.42,37980,,,,,,,,,,0,01/07/2007,,,,,,,,,,,,0,,,,,0.0,0,0,,,764.0,246376.81,01/07/2007,P,,,,,,,0,0,0,0,0,0,0,1
51853,145000000000.0,6.75,108000,360,60,60,2.0,21.0,669.0,N,C,SF,1,P,FL,327,,741.0,N,None,01/10/2006,6.75,99505.25,36740,,,,,,,,,,0,01/10/2012,,,,,,,,,,,,0,,,,,0.0,0,0,,,669.0,180000.0,01/10/2012,P,,,,,,,0,0,0,0,0,0,0,1
51854,145000000000.0,6.0,127000,360,95,95,2.0,61.0,655.0,N,R,SF,1,P,KY,410,30.0,702.0,N,BPMI,01/11/2006,6.0,115802.29,17140,,,,,,,,,,0,01/04/2013,,,,,,,,,,,,0,,,,,0.0,0,0,,,655.0,133684.21,01/04/2013,P,,,,,,,0,0,0,0,0,0,0,1
51855,145000000000.0,6.375,84000,360,80,90,1.0,32.0,789.0,N,P,SF,1,P,MI,481,,,N,None,01/10/2006,6.375,59862.88,19820,,,,,,,,,,0,01/09/2021,,,,,,,,,,,,0,,,,,0.0,0,0,,,789.0,105000.0,01/09/2021,C,,,,,,,0,0,0,0,0,0,0,1
51856,145000000000.0,6.5,146000,240,80,80,2.0,42.0,704.0,N,C,SF,1,P,OH,450,,700.0,N,None,01/11/2006,6.5,58128.54,17140,,,,,,,,,,0,01/09/2021,,,,,,,,,,,,0,,,,,0.0,0,0,,,700.0,182500.0,01/09/2021,C,,,,,,,0,0,0,0,0,0,0,1
51857,145000000000.0,6.875,95000,360,76,76,2.0,25.0,697.0,N,C,SF,1,P,IN,464,,742.0,N,None,01/09/2006,6.875,78918.63,16980,,,,,,,,,,0,01/01/2018,,,,,,,,,,,,0,,,,,0.0,0,0,,,697.0,125000.0,01/01/2018,P,,,,,,,0,0,0,0,0,0,0,1
56119,145000000000.0,6.625,193000,360,85,85,2.0,42.0,606.0,N,C,SF,1,P,RI,28,12.0,606.0,N,LPMI,01/11/2006,3.625,189769.13,39300,14423.74,0.0,1500.0,-173.16,1560.48,145832.23,17633.04,0.0,9137.68,0,01/03/2020,01/11/2007,01/07/2009,01/08/2009,01/09/2009,01/01/2010,01/01/2010,187211.41,193000.0,191204.72,187611.93,187611.93,1,01/01/2011,200091.86,52979.95,1367.64,0.0,1,1,33.0,187611.93,606.0,227058.82,01/02/2020,S,1.0,4361.45,0.0,38838.69,0.204663,54822.01,1,1,1,1,1,5,2,0
56712,145000000000.0,6.5,230000,360,95,95,2.0,48.0,784.0,N,R,SF,1,P,MO,650,30.0,650.0,N,BPMI,01/11/2006,6.5,226885.71,27620,,,,,,,,,,0,01/03/2008,,,,,,,,,,,,0,,,,,0.0,0,0,,,650.0,242105.26,01/03/2008,P,,,,,,,0,0,0,0,0,0,0,1
57829,145000000000.0,6.875,47000,180,36,36,1.0,56.0,688.0,N,R,SF,1,P,IL,629,,,N,None,01/08/2006,6.875,36573.17,0,9175.59,4492.47,0.0,-348.58,863.48,54638.68,0.0,0.0,1585.0,0,01/03/2014,01/08/2008,01/03/2009,01/05/2009,01/06/2009,01/08/2009,01/08/2009,36573.17,47000.0,37977.12,36777.19,36573.17,0,,,,,0.0,0,0,33.0,36573.17,688.0,130555.56,01/06/2015,F,1.0,15113.86,0.0,9646.31,0.263754,,1,1,1,1,1,5,2,0
